鄉鎮市區,村里,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
金城鎮,東門里,1488,1365454,918,710,399,1201,"769.71","83.88"
金城鎮,南門里,1776,1658987,934,717,428,1159,"959.00","102.66"
金城鎮,西門里,3471,3499718,1008,760,452,1315,"861.44","85.44"
金城鎮,北門里,1348,1266990,940,724,404,1199,"837.39","89.09"
金城鎮,賢庵里,1358,1169886,861,665,393,1086,"736.62","85.51"
金城鎮,金水里,660,609462,923,752,401,1216,"735.32","79.63"
金城鎮,古城里,1144,1046717,915,730,449,1199,"704.01","76.94"
金城鎮,珠沙里,863,764933,886,702,392,1171,"744.87","84.04"
金城鎮,其他,10,4231,423,355,154,676,"345.27","81.61"
金城鎮,合計,12118,11386377,940,722,420,1218,"822.78","87.56"
金寧鄉,古寧村,934,860377,921,689,427,1139,"1232.00","133.74"
金寧鄉,安美村,1233,1057789,858,687,426,1086,"672.07","78.34"
金寧鄉,湖埔村,1785,1673363,937,740,446,1230,"730.61","77.94"
金寧鄉,榜林村,1579,1418468,898,705,409,1164,"830.36","92.43"
金寧鄉,盤山村,1600,1527427,955,770,428,1257,"768.06","80.45"
金寧鄉,后盤村,416,373103,897,744,455,1156,"633.00","70.58"
金寧鄉,其他,6,2109,352,225,140,521,"320.70","91.22"
金寧鄉,合計,7553,6912638,915,721,426,1183,"824.43","90.08"
金湖鎮,新市里,1439,1417439,985,744,466,1202,"865.96","87.91"
金湖鎮,山外里,1044,930411,891,718,420,1146,"696.93","78.20"
金湖鎮,溪湖里,422,334347,792,596,408,924,"710.00","89.61"
金湖鎮,蓮庵里,519,456952,880,744,446,1148,"595.22","67.60"
金湖鎮,料羅里,650,602089,926,844,480,1181,"717.83","77.50"
金湖鎮,新湖里,2426,2211778,912,729,448,1160,"743.05","81.50"
金湖鎮,正義里,767,654989,854,699,428,1076,"664.90","77.86"
金湖鎮,瓊林里,994,821781,827,675,404,1058,"671.92","81.27"
金湖鎮,其他,2,1678,839,839,709,969,"367.41","43.78"
金湖鎮,合計,8263,7431464,899,722,439,1135,"735.09","81.73"
金沙鎮,汶沙里,1563,1389658,889,705,413,1118,"744.10","83.69"
金沙鎮,何斗里,586,510300,871,685,406,1100,"742.23","85.23"
金沙鎮,浦山里,645,527031,817,648,374,1064,"671.40","82.17"
金沙鎮,西園里,435,354549,815,666,402,1032,"698.80","85.74"
金沙鎮,官嶼里,596,543238,911,727,432,1183,"743.18","81.54"
金沙鎮,光前里,683,629439,922,726,420,1216,"809.77","87.87"
金沙鎮,三山里,525,414550,790,661,401,1030,"571.53","72.38"
金沙鎮,大洋里,341,291538,855,645,413,1116,"755.27","88.34"
金沙鎮,其他,1,688,688,688,688,688,"0.00","0.00"
金沙鎮,合計,5375,4660991,867,688,408,1106,"727.00","83.84"
烈嶼鄉,林湖村,975,855140,877,733,433,1152,"651.65","74.30"
烈嶼鄉,黃埔村,434,356073,820,637,392,1008,"714.57","87.10"
烈嶼鄉,西口村,691,579859,839,666,422,1057,"682.12","81.29"
烈嶼鄉,上林村,412,340396,826,674,412,1074,"647.01","78.31"
烈嶼鄉,上岐村,810,703321,868,692,419,1044,"806.80","92.92"
烈嶼鄉,其他,1,428,428,428,428,428,"0.00","0.00"
烈嶼鄉,合計,3323,2835218,853,690,422,1079,"706.09","82.76"
烏坵鄉,大坵村,78,72064,924,826,463,1172,"655.89","70.99"
烏坵鄉,小坵村,101,90465,896,715,444,1233,"685.41","76.52"
烏坵鄉,其他,0,0,0,0,0,0,"0.00","0.00"
烏坵鄉,合計,179,162529,908,752,455,1220,"670.98","73.90"
其他,其他,9,7651,850,875,499,1258,"518.87","61.04"
其他,合計,9,7651,850,875,499,1258,"518.87","61.04"
